"";"A.Sapkowski_Miecz_przeznaczenia_fragment";"A.Sapkowski_Ostatnie_¿yczenie_fragment";"A.Sapkowski_Pani_Jeziora_fragment";"A.Sapkowski_Wie¿a_Jaskó³ki_fragment";"Bhagawatam_Œrimad_Damodara_lila_fragment";"C.Sagan_Kontakt_fragment";"C.Sagan_Kontakt_fragment2";"C.Sagan_Miliardy_Miliardy";"C.Sagan_Swiat_nawiedzany_przez_demony_fragment";"J.R.R.Tolkien_Dwie-Wie¿e_fragment";"J.R.R.Tolkien_Hobbit_fragment";"J.R.R.Tolkien_Powrót-Króla_fragment";"J.R.R.Tolkien_Wyprawa_frament";"Komentarz_do_Ewangelii_wg_Œw._Mateusza_fragment";"£.Siatkowski_Opowieœci_biblijne_fragment";"P.Skarga_¯ywoty_Pañskich_Œwiêtych";"S.Lem_Czlowiek_z_Marsa_fragment";"S.Lem_Odruch_warunkowy";"S.Lem_Pokoj_na_Ziemi_fragment";"S.Lem_Powrot_z_Gwiazd_frament"
"molestowaæ";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"morze";1;2;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0
"móc";1;0;0;0;2;1;0;0;0;0;1;1;0;0;2;0;4;0;2;1
"mój";0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"mówiæ";0;0;0;0;0;2;1;0;0;0;1;0;1;0;9;0;0;1;0;0
"musieæ";1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0
"nabraæ";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"naczynie";0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"nadal";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"naga";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nag³y";0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;2
"najlepszy";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"najpierw";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"najwiêcej";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"napiæ";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"naprzeciw";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
